//history here
Date: 20/07/2023;Time: 06:08:24;Tag: working;Description: testing the jar
Date: 30/07/2023;Time: 18:33:45;Tag: testing;Description: testing the status labels
Date: 30/07/2023;Time: 21:43:31;Tag: Studying;Description: 
Date: 31/07/2023;Time: 23:53:19;Tag: Working in own project;Description: making some methods to static in DataManager
Date: 31/07/2023;Time: 23:54:23;Tag: Working in own project;Description: making some methods to static in DataManager
Date: 31/07/2023;Time: 23:55:27;Tag: Working in own project;Description: making some methods to static in DataManager
